fy_20,2019-11-17,3367843.36381711,626.486431036105,20322.3924834746,76703.4879035783,-0.00000143959486170354,0,236823.003121167,367851.482130709,43024.515132416,0,112774.785254628,8727.19738200031,3613.74228122477,0,0,8054.85680522037,90213.9403349181,0,0,11863.1064728989,54035.6962709267,60665.88654681,0,-14227.2695711036,-881.325112525268,55044.5428175139,0,109151.492620963,0,0,0,0,0,0,374588.604923477,6400.21058435658,14534.6673791048,0,0,0,0,0,0,0,0,49092.774392011,372164.322734489,509117.683525807,0,0,798127.119050993,9259.68023148347,163781.747354096,0,0,20305.8480057382,0,610.94217445557,489.52553699577,,2019-11-17,6930704.50901453,7577064.28,,2019-11-17,fy_20,519477.831468742,374588.604923477,3367843.36381711,20934.8779634614,0,372164.322734489,1232047.07964119,798127.119050993,12340.9396632251,20305.8480057382,49092.774392011,163781.747354096
fy_20,2019-11-24,3620788.6174688,708.447167026563,33147.2879013992,146434.765482736,0.000000261888762788344,0,351861.904075182,580046.335616016,29219.3686422433,0,15059.3694207107,23576.855467375,2159.74676238713,0,0,975.418539605109,5810.73518593822,0,0,24524.1933820498,86199.7379447288,126901.790049407,0,708147.92861986,277.389364966021,77888.8740625988,0,44160.0593761675,24629.961178332,0,0,0,0,0,418554.647734833,11403.6335898313,28453.7097595289,0,0,0,0,0,0,0,0,53789.1171610501,457286.05591374,509117.683525807,0,0,874659.599117474,0,259578.077905217,0,0,44886.105268209,102350.456315299,1338.5983478453,3132.78489300278,,2019-11-24,8667069.25523963,8373285.21,,2019-11-24,fy_20,640569.484260286,418554.647734833,3620788.6174688,39857.3433493601,0,457286.05591374,2231363.6048309,874659.599117474,25736.6022297621,44886.105268209,53789.1171610501,259578.077905217
fy_20,2019-12-01,2990392.27921658,51124.5693917493,27111.9443593495,34951.7208763918,-0.000000068517640016446,99174.7627898879,155289.96645855,168577.680120625,18117.5258386535,0,-10785.0479257041,0,3906.38064879691,0,0,0,0.0193020678030738,0,0,19700.8075219756,71372.4226377697,99229.178898731,0,-43653.8870444035,-95.9280019036384,17509.9451819938,0,3906.5540764274,0,1985.37911803424,0,0,0,0,348654.669447867,1008.83951552276,2387.58276035123,0,0,0,0,0,0,0,0,43948.1812684625,333164.000603958,509117.683525809,1329.91750524512,0,707061.773266497,0,179539.188971395,0,0,36674.0113033681,0,0,419.577026217235,,2019-12-01,5871121.69866019,6161649.33,,2019-12-01,fy_20,512852.557175305,348654.669447867,2990392.27921658,3396.42227587399,0,333164.000603958,711532.234482092,707061.773266497,3906.38064879691,36674.0113033681,43948.1812684625,179539.188971395
fy_20,2019-12-08,3182649.02808712,51231.7599046486,16753.559960963,87164.1566938519,-0.0000000056581341055728,0,243889.555224984,231068.281119914,953.996085706818,0,66.1340727813877,0,3255.21328678011,0,0,0,0,0,0,18747.5002529844,61666.0559738211,89388.4983847527,0,21055.5831612007,0.158634733449219,8247.24581519118,0,4759.44330232753,0,0,0,0,0,0,376440.827590997,5104.08996219676,10322.0648184347,0,0,0,0,0,0,0,0,47450.6472379052,281880.997807708,509117.683525806,0,0,759130.114185284,0,118490.147970608,0,0,9770.74787833722,0,557.0667382516,2396.16804614743,,2019-12-08,6141556.72572343,6970823.6,,2019-12-08,fy_20,512070.918310205,376440.827590997,3182649.02808712,15426.1547806314,0,281880.997807708,834991.928587856,759130.114185284,3255.21328678011,9770.74787833722,47450.6472379052,118490.147970608
fy_20,2019-12-15,3558696.55524719,56902.4761590172,10389.1724824519,115958.860659296,0.00000000870952228785215,0,298830.470435903,245392.744319028,0.70523354796186,0,1225.14822525944,25366.8599018966,3255.18644304074,0,0,0,0,0,0,19731.150878803,65822.6173215276,89848.4437190648,0,27067.8738188156,1.69440436839292,9293.88775176406,0,5955.37305027297,0,0,0,0,0,0,413091.346108871,10505.8101841141,18070.4031320498,0,0,0,0,0,0,0,0,52070.4724476389,322167.287556563,509117.683525809,0,0,842413.907141704,0,85717.7686068226,0,0,10722.0341092707,99080.2024062256,304.71058015277,4192.70102606016,,2019-12-15,6901193.54687653,7385341.08999999,,2019-12-15,fy_20,612695.297538247,413091.346108871,3558696.55524719,28576.2133161639,0,322167.287556563,946420.618459129,842413.907141704,28622.0463449373,10722.0341092707,52070.4724476389,85717.7686068226
fy_20,2019-12-22,4016593.36864924,68562.2548967309,22972.4653070124,152416.921367307,-0.00000000210331167626022,0,334195.157527086,278919.970652372,1.09252495819175,0,1258.8015601946,33241.6630015091,2912.79678744394,0,0,2231.52979368713,0,0,0,28152.6441614313,91124.4546302314,88887.7988170098,0,900494.316296566,51813.3662493827,48949.9607962778,0,106052.882726296,0,0,0,0,0,0,478266.872718856,20111.6759208187,32546.1866286779,0,0,0,0,0,0,0,0,60285.8962142534,480606.128957235,509117.683525806,0,0,970976.253250085,0,189913.278973543,0,0,89200.5720302729,114712.590809607,1860.57168733492,3780.24635654332,,2019-12-22,9180159.40281777,8467748.65999999,,2019-12-22,fy_20,629471.092379292,478266.872718856,4016593.36864924,52657.8625494966,0,480606.128957235,2176033.61730654,970976.253250085,36154.4597889531,89200.5720302729,60285.8962142534,189913.278973543
fy_20,2019-12-29,4573863.90082098,42510.5929824489,31731.3095216623,176232.940465522,0,169564.23990672,432115.896878741,365932.576290257,4074.38999628244,0,383481.288423433,0,3884.82103417903,0,0,7187.62255149692,0,0,0,37182.784147335,101868.598847401,151518.625522978,0,918544.837804637,88804.7299872703,112921.528464837,0,87893.1383973729,0,0,0,0,0,0,534855.262072718,28451.9302871913,45346.8654641678,0,0,0,0,0,0,18142.1090122681,0,67418.9049215576,637057.208359027,509117.683525804,0,330370.854795797,1082752.90766803,0,354842.974906722,0,0,99754.756291334,0,546.467145100789,19206.354182941,,2019-12-29,11417178.1006762,10962014.68,,2019-12-29,fy_20,877383.468661911,534855.262072718,4573863.90082098,73798.7957513591,0,637057.208359027,3111565.1001884,1082752.90766803,3884.82103417903,99754.756291334,67418.9049215576,354842.974906722
fy_20,2020-01-05,3632120.86655191,695.837784859511,17372.23042852,-13083.9010771944,0,0,151715.686436303,57391.0986432835,11573.0153451552,0,160145.085412734,0,2622.24345661924,0,0,699.049488432428,0,0,0,23115.9632039525,75936.4489317664,114539.231120229,0,-84428.4930810379,-5083.66747443704,7723.94393135983,0,6614.18292361771,0,0,0,0,0,0,407788.059294168,8209.97138384298,17494.7468805285,0,0,0,0,0,0,10722.2306622621,0,51401.9891870526,423330.795559135,509117.683525807,0,0,813248.564939822,0,184532.157993936,0,0,42894.0874924065,0,2038.36817273834,3349.24165720499,,2020-01-05,6633796.71877498,7283067.30999999,,2020-01-05,fy_20,525227.524018012,407788.059294168,3632120.86655191,25704.7182643714,0,423330.795559135,524925.712017543,813248.564939822,2622.24345661924,42894.0874924065,51401.9891870526,184532.157993936
fy_20,2020-01-12,3432620.79577125,662.565117990312,18413.2341192438,49062.6281528839,0,0,197354.547121972,179069.58042809,9047.91203542944,0,6144.56734152607,0,1923.81037287784,0,0,0,0,0,0,22083.3117406399,78242.7904101968,116769.14238737,0,465950.51112974,-138.150130220673,36046.6453895514,0,4901.33475255519,0,0,0,0,0,0,393985.294798314,6492.43338453202,15287.0825693123,0,0,0,0,0,0,8479.12435423596,0,49662.140421997,409001.942269367,509117.683525805,0,0,790485.957958679,0,173693.086411248,0,0,41442.2132297143,0,3441.80782498364,3398.75635028775,,2020-01-12,7022642.74923957,7595404.33000001,,2020-01-12,fy_20,524437.372055312,393985.294798314,3432620.79577125,21779.5159538443,0,409001.942269367,1183610.61999697,790485.957958679,1923.81037287784,41442.2132297143,49662.140421997,173693.086411248
fy_20,2020-01-19,3598686.59807811,701.349659596532,13070.1118926814,57523.4609618414,0,116838.007388817,276293.821674086,235917.468413604,9655.4881994266,0,7546.98501176416,21120.7837098772,4247.40341457972,0.135626020599064,0,7680.58873485015,2612.21829972835,0,0,24119.3974675815,82509.0586133724,123019.885826436,0,171956.952283362,35792.4801238317,78853.6607811318,0,120431.865328464,0,0,0,0,0,0,405481.286840063,8341.00590441194,18278.9354589112,0,0,0,0,0,0,10893.3618743665,0,51534.7258420103,417618.279545388,509117.683525806,0,0,827461.961296515,0,174771.575740414,0,0,43004.8539779304,0,2182.01027381515,3556.34957465088,,2020-01-19,7460819.75134344,7906804.39,,2020-01-19,fy_20,525749.405248638,405481.286840063,3598686.59807811,26619.9413633231,0,417618.279545388,1364522.9362866,827461.961296515,25368.1871244569,43004.8539779304,51534.7258420103,174771.575740414
fy_20,2020-01-26,3434537.48598566,663.27831210764,20046.0166757641,19246.8476419743,0,0,268305.154067052,354977.475139352,16354.6086096483,0,234586.513844606,25863.2134735395,4052.18084669774,238.382648480101,0,7718.09036033514,12316.2969239679,0,0,22274.0727402713,82203.380348136,112578.469816004,0,20317.0570128157,51040.5309329832,40617.1348471409,0,125278.879240245,0,0,0,0,0,0,361656.181386275,5611.99122044102,12931.4753295553,0,0,0,0,0,0,6307.23183719058,0,48770.2613412949,350872.899273728,509117.683525806,0,0,782275.978145993,0,148405.342835804,0,0,30390.6866957204,0,637.280285137078,4673.50464061775,,2020-01-26,7114865.58598434,7301795,,2020-01-26,fy_20,520735.700288751,361656.181386275,3434537.48598566,18543.4665499963,0,350872.899273728,1388762.18916088,782275.978145993,29915.3943202372,30390.6866957204,48770.2613412949,148405.342835804
fy_20,2020-02-02,3416332.839457,683.656755644756,24836.4292213956,15783.471899413,0,0,254472.713026198,416023.093756826,10628.6048270834,0,229671.736013441,0,3304.46888319389,0,0,6853.14941375428,153767.429315939,0,0,22801.5355901723,83622.6919935109,111535.273298328,0,11552.661369289,273.117930248927,85735.2314018509,0,119354.688896867,0,0,0,0,0,0,343558.913381711,6143.06041478884,12261.5594122744,0,0,0,0,0,0,0,0,48851.4065648083,357723.199344728,509117.683525805,0,0,780720.123047282,0,150778.645902414,0,0,0,0,102.43673094981,5973.10624625679,,2020-02-02,7182462.92762118,6822233.43,,2020-02-02,fy_20,515193.226503012,343558.913381711,3416332.839457,18404.6198270632,0,357723.199344728,1547595.48470996,780720.123047282,3304.46888319389,0,48851.4065648083,150778.645902414
fy_20,2020-02-09,3497694.01137773,703.872244539042,27440.2096442199,11118.6495884435,0,0,287383.657035168,451759.731081348,20306.1478522061,0,26664.3333800181,0,7135.94633610388,111.299227623152,0,5172.39086822567,40664.5859986546,0,0,23641.5882137083,86614.5010352152,129162.051987383,0,725590.198223048,72.24590794913,77183.7959943088,0,99416.3837770273,0,0,0,0,0,0,349117.124469084,6985.07249558476,15828.8026132512,0,0,0,0,0,0,0,0,49641.7409704266,344485.948232623,509117.683525804,0,0,785665.589430041,0,183189.587701837,0,0,41425.1902336338,0,2699.52685480743,5389.88971054821,,2020-02-09,7811381.75601056,7154030.89,,2020-02-09,fy_20,517207.10009116,349117.124469084,3497694.01137773,22813.875108836,0,344485.948232623,2013005.64205909,785665.589430041,7135.94633610388,41425.1902336338,49641.7409704266,183189.587701837
